index,deforestation_class,vh_dB,vv_dB
1219763,2.0,-16.205194,-12.913557
48472,2.0,-15.141629,-11.183146
413942,2.0,-14.988507,-9.5577755
1961885,1.0,-23.40548,-21.965118
1212146,2.0,-9.812396,-9.386264
1914229,1.0,-18.348063,-10.521608
1156090,1.0,-17.305777,-11.501047
2836998,1.0,-20.427986,-16.107347
3007706,2.0,-15.44712,-9.639095
1156343,2.0,-14.755209,-8.208848
840377,2.0,-15.792791,-10.828617
2563585,1.0,-17.773739,-15.701493
239347,1.0,-16.665096,-14.952975
2054090,2.0,-16.2793,-12.511506
2072923,1.0,-17.37705,-16.212887
2083515,1.0,-16.963192,-10.836787
2621495,2.0,-18.810963,-9.909047
2855644,1.0,-18.989143,-12.2570505
3466368,2.0,-19.015806,-11.781974
3297388,2.0,-15.998405,-10.602396
1743791,1.0,-16.489872,-11.213217
3071817,2.0,-19.08226,-13.242354
1755176,2.0,-13.315107,-6.7166185
1731332,1.0,-17.424227,-11.485814
1210146,1.0,-17.17155,-15.466248
996878,2.0,-15.278115,-12.1014
2468424,1.0,-13.812408,-14.704808
2007537,2.0,-17.770834,-13.736982
3306577,1.0,-20.161982,-18.7915
410329,1.0,-18.562073,-15.635151
1133548,1.0,-17.411964,-15.270573
1998960,1.0,-19.631212,-15.196127
1610133,2.0,-15.695538,-8.036914
2360085,2.0,-14.479391,-9.869602
2650706,1.0,-16.91756,-13.072175
1743869,2.0,-15.036493,-9.803663
1410366,2.0,-15.384462,-10.1370535
3255645,1.0,-17.378078,-5.458234
610232,2.0,-15.987636,-10.847015
1628970,1.0,-22.082428,-12.838465
3519526,2.0,-13.466267,-11.801292
1943341,1.0,-22.407207,-19.324701
1757433,1.0,-16.658978,-11.603008
817907,2.0,-14.582325,-4.936283
1815447,1.0,-14.980858,-10.801276
72290,1.0,-21.704277,-12.558565
1756608,1.0,-15.4856825,-8.18487
1341996,2.0,-16.363554,-10.232612
712199,2.0,-13.873721,-14.020073
634412,2.0,-16.171532,-9.380807
752230,2.0,-12.15691,-7.791803
2613371,2.0,-16.763596,-7.5850277
2680423,1.0,-20.381681,-12.50996
937614,2.0,-19.01077,-11.792851
1424163,2.0,-13.870526,-9.558032
2098742,1.0,-22.382385,-13.752942
2791853,2.0,-15.349388,-9.06851
2187556,2.0,-13.339757,-6.1967807
406836,1.0,-17.75069,-15.661942
3500630,2.0,-13.229668,-6.2485
3287846,2.0,-12.959708,-11.262547
3069980,2.0,-12.161558,-10.0247
2102274,2.0,-13.656493,-12.388426
153846,1.0,-18.852383,-14.355415
539432,2.0,-13.043557,-13.732834
398117,2.0,-15.717092,-12.778276
96411,1.0,-18.376076,-13.790145
1881745,1.0,-15.555316,-12.454023
1889084,1.0,-15.221678,-8.462
683659,1.0,-18.04847,-10.979924
676501,2.0,-17.0834,-9.08366
2076516,1.0,-22.751034,-21.437496
3745550,2.0,-16.252207,-10.751161
184990,2.0,-14.303731,-14.150362
1782730,1.0,-16.41915,-8.748944
1444361,1.0,-18.03889,-11.264368
2129376,1.0,-12.962728,-11.132591
3003313,1.0,-17.847883,-16.218046
2775519,1.0,-19.597029,-11.967518
2454755,2.0,-16.048525,-7.652952
3673579,1.0,-13.321962,-2.8223653
308146,1.0,-18.820166,-12.925098
767868,2.0,-16.475727,-11.273041
1723431,2.0,-13.078212,-9.8487835
1551996,1.0,-19.280832,-10.139641
1970581,2.0,-17.1224,-10.294899
3523407,2.0,-20.42093,-10.280185
3525407,2.0,-14.561777,-7.81467
3057004,2.0,-14.143485,-15.327251
1777720,2.0,-16.925873,-9.083784
2142616,2.0,-13.860476,-9.379674
2033460,2.0,-17.365387,-12.044666
1990868,2.0,-18.101013,-9.078577
1679281,1.0,-17.98471,-13.802187
1888564,1.0,-16.610632,-9.942036
71898,1.0,-18.20452,-13.34311
210908,1.0,-17.687643,-9.457494
131614,1.0,-17.647226,-15.985506
2036098,1.0,-19.0355,-14.237347
181736,1.0,-15.545444,-13.269894
1905274,1.0,-12.73203,-9.584348
1678258,1.0,-16.038671,-8.966146
2896448,2.0,-17.768423,-12.542014
1925259,1.0,-22.002022,-15.243125
1082004,2.0,-17.687492,-8.989532
2251247,1.0,-16.270819,-11.7467785
423594,1.0,-20.225681,-12.230171
3362593,1.0,-16.63098,-15.46875
940411,2.0,-13.059656,-11.456085
1864954,1.0,-18.720333,-9.672202
3171614,2.0,-15.976248,-7.4090056
686260,2.0,-19.70028,-12.392399
500713,2.0,-17.323477,-7.4351416
1809583,1.0,-16.713316,-16.092285
174295,1.0,-19.885958,-12.705952
2531704,1.0,-15.851928,-10.778085
496446,1.0,-24.315395,-14.106154
1945795,1.0,-17.271824,-14.124585
803316,2.0,-15.007907,-7.2007856
